,description,type,sample,totalcount,entropy,tcrcovidmatch,tcrcovidfreq
Covid_PT061_CD4,Covid_PT061,CD4,83,171241,0.9649791729964341,0.0009343556741668175,0.0008518493043111065
Covid_PT061_CD8,Covid_PT061,CD8,84,17675,0.8466714169700458,0.0015275813295615277,0.0011675214213238403
Covid_PT062_CD4,Covid_PT062,CD4,85,123473,0.9564466512208185,0.0008179925975719388,0.0006362947268580551
Covid_PT062_CD8,Covid_PT062,CD8,86,20604,0.7718966302797341,0.0012618908949718502,0.0036228565115323723
Covid_PT063_CD4,Covid_PT063,CD4,87,82500,0.8850974938068105,0.0006545454545454545,0.0008695187419458836
Covid_PT063_CD8,Covid_PT063,CD8,88,1064,0.6565815884575911,0.0018796992481203006,0.00015941518240051114
Covid_PT068_CD4,Covid_PT068,CD4,89,25469,0.7967441351921423,0.0003141073461855589,5.0742132775159624e-05
Covid_PT068_CD8,Covid_PT068,CD8,90,1123,0.7676396050190591,0.0,0.0
Covid_PT071_CD4,Covid_PT071,CD4,91,94867,0.8073819611730073,0.000737875130445782,0.0005071778924701206
Covid_PT071_CD8,Covid_PT071,CD8,92,22035,0.6802291846212587,0.0010437939641479465,0.0004078179067613852
Covid_PT072_CD4,Covid_PT072,CD4,93,764,0.8387711589270772,0.0013089005235602095,0.00025360239071406957
Covid_PT072_CD8,Covid_PT072,CD8,94,157,0.7773061803799091,0.0,0.0
Covid_PT073_CD4,Covid_PT073,CD4,95,216,0.8222682160596272,0.0,0.0
Covid_PT073_CD8,Covid_PT073,CD8,96,22195,0.7309366855588245,0.0014417661635503492,0.0008721655632220678
Covid_PT078_CD4,Covid_PT078,CD4,97,5938,0.9156759534367811,0.0,0.0
Covid_PT078_CD8,Covid_PT078,CD8,98,392,0.8251156867424148,0.0,0.0
Covid_PT079_CD4,Covid_PT079,CD4,99,215,0.8367607065580361,0.0,0.0
Covid_PT079_CD8,Covid_PT079,CD8,100,19003,0.7938622517668703,0.001105088670209967,0.0004879034422581066
Covid_PT080_CD4,Covid_PT080,CD4,101,54247,0.9287993738133803,0.000940144155437167,0.001100518297980917
Covid_PT080_CD8,Covid_PT080,CD8,102,12958,0.6088989988350925,0.001620620466121315,0.0006753726438587034
Covid_PT081_CD4,Covid_PT081,CD4,103,66380,0.9175654052440987,0.00064778547755348,0.0005272028721793152
Covid_PT081_CD8,Covid_PT081,CD8,104,53750,0.8267354886909105,0.001786046511627907,0.0014975595359527857
Covid_PT083_CD4,Covid_PT083,CD4,105,81246,0.943271931065463,0.0008369642813184649,0.0008737943994645333
Covid_PT083_CD8,Covid_PT083,CD8,106,323,0.8502830402307913,0.0,0.0
