microbe,eigentaxa
Butyricimonas 7,56
Caproiciproducens 6,7
EF602946_g 2,5
EU844075_g 1,9
Caproiciproducens 9,2
Clostridium_g24 8,2
FR888536_g 18,32
Lactobacillus 7,49
JX198636_g 1,55
AB239481_g 24,1
GU324393_g 1,6
Butyricicoccus 9,41
HM124225_g 1,14
AM275436_g 2,43
GU174103_g 4,17
HM124260_g 26,15
JN713389_g 39,15
Parabacteroides 26,71
Clostridium_g24 17,28
EU381776_g 6,5
Gordonibacter 3,6
Prevotella 5,59
Bifidobacterium 3,11
Alloprevotella 1,78
Prevotella 12,9
Bacteroides 20,46
Barnesiella 1,9
Butyricicoccus 2,67
FJ440089_g 1,17
Prevotella 37,22
Blautia 5,18
Sutterella 5,22
Clostridium_g7 2,2
Sporobacter 10,7
Blautia 11,18
JN713389_g 4,15
Eubacterium_g23 6,18
Oscillibacter 17,51
Ruminococcus_g4 6,12
Desulfovibrio 4,22
Roseburia 4,3
Caproiciproducens 5,2
Clostridium_g23 1,33
EF400272_g 1,4
Butyricimonas 5,19
Prevotella 61,22
Coprobacter 4,13
Catenibacterium 2,22
Blautia 19,32
Collinsella 2,22
EU622770_g 1,25
Eubacterium_g5 6,5
Parasutterella 14,17
Sporobacter 26,19
Pseudoflavonifractor 14,6
Lachnospiraceae 18,2
EF402988_g 4,5
Subdoligranulum 13,42
Clostridium_g24 10,14
Sellimonas 3,2
Caproiciproducens 14,22
EU381776_g 3,16
Caproiciproducens 13,2
AB264083_g,22
Finegoldia,26
JN162687_g 3,58
EF025278_g 1,2
GU302849_g 9,22
Coprobacillus 2,13
DQ057459_g 11,22
HQ716403_g 15,4
Caproiciproducens 19,22
DQ807451_g 1,2
GQ175418_g 5,22
Eubacterium_g5 12,2
GQ896909_g 2,4
GU302849_g 18,4
Porphyromonas 3,26
Anaerostipes 11,42
Sporobacter 63,16
Marvinbryantia 2,33
Succiniclasticum 1,39
Anaerostipes 2,67
Bacteroides 28,13
Victivallis 1,70
Sporobacter 7,1
Ruminococcus 6,19
HQ716403_g 3,6
JN713389_g 1,9
HM124244_g 1,8
Cloacibacillus 1,4
HM123979_g 3,25
Sporobacter 12,6
Bacteroides 54,11
Sporobacter 9,62
Subdoligranulum 5,2
Bacteroides 48,4
Alistipes 17,4
Pseudoflavonifractor 10,4
Pseudoflavonifractor 9,50
FR888536_g 6,15
EU842486_g 1,11
Sporobacter 18,12
GQ897982_g 3,4
Pseudoflavonifractor 13,6
Oscillibacter 22,7
HM124260_g 6,23
EF401875_g 2,4
Oscillibacter 23,4
JN713389_g 16,32
Sporobacter 24,4
Lachnospiraceae 16,28
AB009176_g 22,3
JN713389_g 13,4
Oscillibacter 26,4
GU302849_g 5,20
EF404788_g 2,1
AJ576336_g 2,4
HM124260_g 9,25
Olsenella 1,12
Lachnospiraceae 20,14
Syntrophococcus 1,6
EU381776_g 2,59
Oscillibacter 29,12
HM124260_g 10,3
Pseudoflavonifractor 25,35
Hungatella 2,41
AJ576336_g 5,27
Clostridium_g12 1,1
EU464362_g 6,30
Anaerofilum 2,4
AB264073_g 1,20
GQ896909_g 1,43
Subdoligranulum 28,4
